user_id,username,email,subscription_status
1,jleppingwell0,kfarmery0@ustream.tv,false
2,orosenfarb1,fbrabben1@4shared.com,false
3,toleszczak2,bsambath2@bandcamp.com,true
4,cdanielsohn3,fburde3@twitpic.com,false
5,epigeon4,bmcmullen4@oracle.com,true
6,rpettinger5,cphillott5@bizjournals.com,true
7,jbaine6,cjeves6@nhs.uk,false
8,mmccardle7,lledgister7@de.vu,true
9,ydust8,mdyshart8@moonfruit.com,false
10,eodriscoll9,tperotti9@amazon.co.jp,true
11,kmcquarriea,cchisletta@yellowbook.com,false
12,csproulb,mdionisiib@posterous.com,false
13,rgouldbournc,hzannelic@google.co.uk,true
14,tdoolyd,iparresd@whitehouse.gov,false
15,lbertwistlee,ijeniceke@state.gov,true
16,nsaerf,cgluyasf@theguardian.com,false
17,jperchg,heasthopeg@comcast.net,false
18,bbrandonih,ghollingsheadh@amazonaws.com,false
19,nmacguigani,bklementzi@csmonitor.com,false
20,pburnsydej,rgladdolphj@hexun.com,true
21,bsammek,friceardsk@g.co,false
22,tblankettl,grenolsl@mediafire.com,true
23,fsamm,ddumperm@nbcnews.com,true
24,gyuryshevn,rrowtern@ed.gov,false
25,ccattrollo,efineso@businesswire.com,true
26,rsilmonp,kgammiep@soundcloud.com,true
27,hlucioq,bbohlsenq@google.cn,true
28,ttwortr,lcotesr@feedburner.com,true
29,vjoders,kglisanes@ftc.gov,true
30,zmoinet,sknightont@booking.com,true
31,xmccluskeyu,ceburneu@163.com,true
32,aparzisv,gbaiteyv@360.cn,false
33,wclucasw,gscoullerw@gnu.org,false
34,jmarrx,gjoyx@wikipedia.org,false
35,arieply,greimery@bbb.org,false
36,derskinez,hbondz@infoseek.co.jp,true
37,hmcelory10,wmacgillacolm10@sfgate.com,false
38,frixon11,ecarrier11@flickr.com,true
39,gkoubek12,vmcmechan12@pinterest.com,false
40,jblaza13,rwaldrum13@prlog.org,false
41,pgrishanin14,wmaudling14@typepad.com,false
42,drowntree15,lbrydie15@dmoz.org,true
43,brobertsen16,gcortese16@dedecms.com,true
44,cgreenless17,slombard17@hc360.com,false
45,tbullar18,cquimby18@exblog.jp,false
46,pcounihan19,kert19@opensource.org,false
47,lmcquaide1a,mmacklam1a@geocities.com,false
48,gmcmichan1b,kheifer1b@ftc.gov,false
49,wmcalinion1c,jyerrell1c@wix.com,true
50,emcfadin1d,mweeke1d@gizmodo.com,true
51,lfonzo1e,hbroyd1e@indiegogo.com,true
52,ngrunwald1f,cgauld1f@soundcloud.com,true
53,ehathaway1g,damberg1g@gnu.org,false
54,cjurries1h,gmclardie1h@drupal.org,true
55,mpohlke1i,candrioli1i@google.co.jp,false
56,mmccurtin1j,amaseres1j@telegraph.co.uk,true
57,lnesterov1k,gmattiazzo1k@lycos.com,false
58,ctrayling1l,rportugal1l@bbb.org,true
59,bkunisch1m,dkadar1m@reuters.com,true
60,akynforth1n,vgudgen1n@yellowbook.com,true
61,ichedzoy1o,stucknutt1o@bandcamp.com,false
62,vdecourcy1p,kmccaw1p@ed.gov,true
63,mpiatek1q,ljosephson1q@nhs.uk,false
64,fessery1r,epitkeathly1r@networksolutions.com,false
65,tgrabb1s,jdevas1s@friendfeed.com,true
66,ccampes1t,nkolis1t@wordpress.com,true
67,cvardie1u,sleakner1u@pagesperso-orange.fr,true
68,fpadden1v,nmacdermot1v@facebook.com,true
69,dnickoll1w,nendrici1w@businesswire.com,false
70,lkermott1x,draynton1x@yellowpages.com,false
71,jblindermann1y,sbeaze1y@networkadvertising.org,false
72,arainer1z,gbonham1z@elegantthemes.com,false
73,abovey20,bblenkin20@csmonitor.com,false
74,jfarrears21,imoohan21@businessweek.com,false
75,cscouller22,grestill22@marketwatch.com,false
76,jwitty23,cbrill23@cam.ac.uk,true
77,rtoghill24,caxten24@ifeng.com,false
78,mruffles25,sdrennan25@miibeian.gov.cn,true
79,mboate26,rbuttner26@bandcamp.com,true
80,agoford27,tkiffin27@typepad.com,false
81,llerhinan28,kbarnwell28@jigsy.com,false
82,cmcmechan29,jboord29@nasa.gov,true
83,jzold2a,mhillum2a@printfriendly.com,false
84,lfalconertaylor2b,dfitzackerley2b@dropbox.com,false
85,mphilbrick2c,oharvatt2c@prnewswire.com,true
86,aroseman2d,slemar2d@nasa.gov,false
87,lsalt2e,mnorcliff2e@bravesites.com,true
88,bboreham2f,dtrevena2f@flickr.com,true
89,dphilippe2g,bfrancesc2g@harvard.edu,true
90,jpinar2h,rcayette2h@cloudflare.com,true
91,rguillard2i,ibewley2i@constantcontact.com,true
92,jbrim2j,nreardon2j@cnbc.com,false
93,awhewell2k,hdenisyev2k@soundcloud.com,true
94,lpryer2l,bmicheu2l@sciencedirect.com,true
95,mdangl2m,dhartman2m@bloomberg.com,false
96,jbracher2n,gbootland2n@utexas.edu,false
97,aeast2o,messame2o@jugem.jp,false
98,mbudik2p,jpiola2p@hubpages.com,true
99,mgudgen2q,hcrutchley2q@mozilla.com,false
100,ghoyes2r,emicheu2r@harvard.edu,true
